id,title,link,gu,income_target,require_child,require_pregnant,child_age_min,child_age_max,require_disability
20,공공임대주택신혼부부다자녀우대,https://www.myhome.go.kr,ALL,MIDDLE,Y,N,0,18,ANY
21,교육비지원(유치원초중고학비감면),https://www.bokjiro.go.kr,ALL,LOW,Y,N,5,18,ANY
22,영유아발달장애정밀검사지원,https://www.kihasa.re.kr,ALL,LOW,Y,N,0,6,ANY
23,장애아동수당지원,https://www.bokjiro.go.kr,ALL,LOW,Y,N,0,18,ANY
24,발달재활서비스바우처,https://www.bokjiro.go.kr,ALL,LOW,Y,N,0,18,ANY
25,보육료지원(어린이집이용아동),https://www.childcare.go.kr,ALL,ALL,Y,N,0,5,ANY
26,유아학비지원(유치원교육비),https://www.bokjiro.go.kr,ALL,ALL,Y,N,3,5,ANY
27,국공립어린이집우선입소(맞벌이다자녀),https://www.childcare.go.kr,ALL,MIDDLE,Y,N,0,5,ANY
28,시간제보육지원,https://www.childcare.go.kr,ALL,ALL,Y,N,0,5,ANY
29,방과후아동돌봄서비스(다함께돌봄센터),https://www.bokjiro.go.kr,ALL,ALL,Y,N,6,12,ANY
30,저소득학생교과서급식비지원,https://www.bokjiro.go.kr,ALL,LOW,Y,N,7,18,ANY
31,산전산후우울증검사상담지원,https://www.bokjiro.go.kr,ALL,ALL,Y,Y,0,1,ANY
32,고위험임산부의료비지원,https://www.bokjiro.go.kr,ALL,LOW,N,Y,-1,-1,ANY
33,난임부부시술비지원,https://www.bokjiro.go.kr,ALL,ALL,N,N,-1,-1,ANY
34,임산부철분제엽산제무료지원,https://www.bokjiro.go.kr,ALL,ALL,N,Y,-1,-1,ANY
35,영유아구강건강관리서비스,https://www.bokjiro.go.kr,ALL,ALL,Y,N,0,5,ANY
36,취학전장애아무상교육,https://www.bokjiro.go.kr,ALL,ALL,Y,N,3,5,ANY
37,아이행복카드보육료자동결제,https://www.childcare.go.kr,ALL,ALL,Y,N,0,5,ANY
38,보조금24출산양육맞춤조회,https://www.gov.kr,ALL,ALL,N,N,-1,-1,ANY
39,다자녀가구자동차취득세감면,https://www.bokjiro.go.kr,ALL,ALL,Y,N,0,18,ANY
40,다자녀우대카드제휴할인,https://www.bokjiro.go.kr,ALL,ALL,Y,N,0,18,ANY
41,서울시임산부교통비지원,https://www.seoulmomcare.com,ALL,ALL,N,Y,-1,-1,ANY
42,서울시출산축하용품지원,https://seoul-agi.seoul.go.kr,ALL,ALL,Y,Y,0,0,ANY
43,서울시영유아건강검진추가지원,https://seoul-agi.seoul.go.kr,ALL,ALL,Y,N,0,5,ANY
44,서울시산후조리비일부지원,https://seoul-agi.seoul.go.kr,ALL,LOW,Y,Y,0,0,ANY
45,서울시공공산후조리원이용지원,https://seoul-agi.seoul.go.kr,ALL,MIDDLE,Y,Y,0,0,ANY
46,서울시우리동네키움센터초등돌봄,https://iseoul.seoul.go.kr,ALL,ALL,Y,N,6,12,ANY
47,서울시돌봄SOS센터긴급돌봄,https://seoul-agi.seoul.go.kr,ALL,LOW,Y,N,0,18,ANY
48,서울시다자녀가정수도요금감면,https://seoul-agi.seoul.go.kr,ALL,LOW,Y,N,0,18,ANY
49,서울시청년부부전월세보증금지원,https://www.bokjiro.go.kr,ALL,MIDDLE,Y,Y,0,5,ANY
50,서울시영유아발달지원바우처,https://seoul-agi.seoul.go.kr,ALL,LOW,Y,N,0,6,ANY
51,서울시아이돌봄이용요금추가감경,https://seoul-agi.seoul.go.kr,ALL,LOW,Y,N,0,12,ANY
52,서울시공공형어린이집추가확충,https://seoul-agi.seoul.go.kr,ALL,ALL,Y,N,0,5,ANY
53,서울형학부모상담및양육코칭,https://seoul-agi.seoul.go.kr,ALL,ALL,Y,N,0,18,ANY
54,서울시한부모가족양육비추가지원,https://seoul-agi.seoul.go.kr,ALL,LOW,Y,N,0,18,ANY
55,서울시맞벌이가정야간보육시범사업,https://seoul-agi.seoul.go.kr,ALL,MIDDLE,Y,N,0,5,ANY
56,서울시영유아장난감대여센터,https://seoul-agi.seoul.go.kr,ALL,ALL,Y,N,0,5,ANY
57,서울시임산부건강관리모바일헬스,https://seoul-agi.seoul.go.kr,ALL,ALL,N,Y,-1,-1,ANY
58,서울시청소년부모자녀양육지원,https://seoul-agi.seoul.go.kr,ALL,LOW,Y,N,0,3,ANY
59,서울시학교밖청소년임신양육지원,https://www.bokjiro.go.kr,ALL,LOW,Y,Y,0,3,ANY
60,서울시영유아미세먼지건강지원,https://seoul-agi.seoul.go.kr,ALL,ALL,Y,N,0,5,ANY
61,서울강남구출산축하금산후지원,https://seoul-agi.seoul.go.kr,강남구,ALL,Y,Y,0,0,ANY
62,서울서초구출산장려금산후조리비지원,https://www.bokjiro.go.kr,서초구,ALL,Y,Y,0,0,ANY
63,서울송파구다자녀가정양육지원,https://www.bokjiro.go.kr,송파구,LOW,Y,N,0,18,ANY
64,서울강동구첫만남이용권추가지원,https://www.gov.kr,강동구,ALL,Y,Y,0,0,ANY
65,서울마포구출산가정영아수당추가지원,https://www.bokjiro.go.kr,마포구,LOW,Y,N,0,1,ANY
66,서울양천구아이돌봄서비스본인부담경감,https://www.childcare.go.kr,양천구,LOW,Y,N,0,12,ANY
67,서울영등포구산모신생아건강관리추가지원,https://www.childcare.go.kr,영등포구,LOW,Y,Y,0,0,ANY
68,서울구로구한부모가정아동양육비추가지원,https://www.bokjiro.go.kr,구로구,LOW,Y,N,0,18,ANY
69,서울금천구저소득영유아기저귀분유지원,https://www.childcare.go.kr,금천구,LOW,Y,N,0,2,ANY
70,서울관악구영유아예방접종비지원,https://seoul-agi.seoul.go.kr,관악구,ALL,Y,N,0,6,ANY
71,서울동대문구임산부친환경농산물바우처,https://www.gov.kr,동대문구,ALL,N,Y,-1,-1,ANY
72,서울노원구공공형어린이집우선입소지원,https://www.childcare.go.kr,노원구,ALL,Y,N,0,5,ANY
73,서울성북구다문화가족영유아돌봄지원,https://www.bokjiro.go.kr,성북구,LOW,Y,N,0,12,ANY
74,서울은평구시간제보육료추가지원,https://www.childcare.go.kr,은평구,ALL,Y,N,0,5,ANY
75,서울도봉구취약계층영유아건강검진지원,https://seoul-agi.seoul.go.kr,도봉구,LOW,Y,N,0,5,ANY
76,서울용산구국공립어린이집확충및우선배정,https://www.childcare.go.kr,용산구,ALL,Y,N,0,5,ANY
77,서울종로구영유아발달검사및상담지원,https://seoul-agi.seoul.go.kr,종로구,ALL,Y,N,0,6,ANY
78,서울중구임신출산의료비추가지원,https://www.gov.kr,중구,MIDDLE,N,Y,-1,-1,ANY
79,서울중랑구다자녀가정주거비양육비우대,https://www.bokjiro.go.kr,중랑구,LOW,Y,N,0,18,ANY
80,서울서대문구영유아장난감도서대여센터,https://www.childcare.go.kr,서대문구,ALL,Y,N,0,5,ANY
